nitiji,kennsuu,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:30,19:00,23:59
2018/02/06,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018/02/07,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018/02/08,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018/02/09,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018/02/10,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018/02/11,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/02/12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/02/13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/02/17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/02/18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/02/19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/02/20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/02/21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/02/22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/03/08,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/03/09,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/03/10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/03/11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/03/12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/03/13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/03/24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
